Wall time,Step,Value
1681957661.118966,493,-490.9174499511719
1681957664.41127,496,-598.1543579101562
1681957676.446759,507,-557.135009765625
1681957679.8975658,510,-534.07568359375
1681957681.011498,511,-519.8470458984375
1681957682.29384,512,-488.9665222167969
1681957684.512026,514,-615.2376098632812
1681957686.6934552,516,-318.1629943847656
1681957687.769809,517,-504.02447509765625
1681957689.9605482,519,-448.3796691894531
1681957695.5554602,524,-692.5130004882812
1681957696.630655,525,-469.7021179199219
1681957703.102637,531,-568.3148193359375
1681957705.298431,533,-363.193115234375
1681957706.361739,534,-447.5681457519531
1681957707.435891,535,-510.0721435546875
1681957708.508569,536,-542.476318359375
1681957709.5949771,537,-496.5221252441406
1681957710.6892328,538,-507.4250793457031
1681957711.7670112,539,-425.366455078125
1681957712.825359,540,-424.296875
1681957713.964851,541,-428.3296813964844
1681957715.043524,542,-430.6656188964844
1681957717.2010381,544,-470.0780029296875
1681957720.446183,547,-386.1588134765625
1681957721.528403,548,-479.5609130859375
1681957722.609826,549,-575.646728515625
1681957724.7376761,551,-361.9414978027344
1681957729.0564852,555,-422.59722900390625
1681957731.262024,557,-404.5690002441406
1681957733.392044,559,-396.8045654296875
1681957737.695505,563,-579.92431640625
1681957738.7549329,564,-505.3471984863281
1681957739.8002071,565,-430.8987121582031
1681957741.971711,567,-536.2044067382812
1681957744.0709891,569,-439.0318298339844
1681957746.1351428,571,-433.5588684082031
1681957748.227306,573,-471.6684875488281
1681957749.2774458,574,-482.1205139160156
1681957752.4017751,577,-315.9537048339844
1681957754.495008,579,-403.2072448730469
1681957755.535566,580,-481.87835693359375
1681957756.575297,581,-403.5126037597656
1681957757.622753,582,-624.7852783203125
1681957758.674464,583,-579.336181640625
1681957759.706829,584,-637.8900146484375
1681957761.785686,586,-359.5022888183594
1681957762.824219,587,-511.44866943359375
1681957768.017354,592,-464.2660217285156
1681957769.0571678,593,-465.963623046875
1681957771.11341,595,-594.5323486328125
1681957772.1610382,596,-511.26385498046875
1681957773.2099369,597,-471.8588562011719
1681957776.345593,600,-659.0689086914062
1681957778.482662,602,-537.68896484375
1681957780.6752949,604,-458.24896240234375
1681957782.823057,606,-476.27349853515625
1681957784.938008,608,-452.7178955078125
1681957787.056921,610,-457.1938171386719
1681957788.1024,611,-350.1182556152344
1681957789.140061,612,-507.5682678222656
1681957792.285577,615,-407.6980895996094
1681957796.507794,619,-499.17645263671875
1681957797.551031,620,-452.75201416015625
1681957799.6504362,622,-512.1052856445312
1681957800.69637,623,-499.19000244140625
1681957802.770376,625,-408.555419921875
1681957806.935982,629,-436.0054626464844
1681957812.167339,634,-482.96527099609375
1681957819.4400141,641,-359.2071533203125
1681957820.492019,642,-439.4740905761719
1681957822.581859,644,-418.3051452636719
1681957823.631743,645,-478.460205078125
1681957824.675298,646,-1964.2811279296875
1681957825.715615,647,-445.69610595703125
1681957826.764606,648,-593.9554443359375
1681957827.814479,649,-385.70330810546875
1681957829.9094331,651,-493.4665832519531
1681957830.952048,652,-515.2078247070312
1681957835.120523,656,-585.673095703125
1681957836.17234,657,-554.8455200195312
1681957838.2637708,659,-482.440185546875
1681957840.3530781,661,-543.7403564453125
1681957843.474498,664,-415.29156494140625
1681957845.569816,666,-558.4094848632812
1681957846.598649,667,-735.8007202148438
1681957847.642318,668,-456.7048034667969
1681957850.787334,671,-517.0956420898438
1681957851.828469,672,-364.50897216796875
1681957852.884136,673,-475.097900390625
1681957853.94332,674,-532.2027587890625
1681957854.995085,675,-552.89208984375
1681957857.080006,677,-419.21771240234375
1681957858.1259332,678,-410.1851806640625
1681957859.175152,679,-455.5460510253906
1681957861.300002,681,-572.1372680664062
